Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-12-29,120.629997,121.379997,120.610001,121.050003,107.230682,27692500,209
2014-12-30,120.790001,121.239998,120.269997,120.339996,106.601707,23996000,210
2014-12-31,120.800003,121.410004,119.540001,119.620003,105.963928,35688700,211
2015-01-02,120.07,120.559998,117.889999,118.93,105.352707,46133100,212
2015-01-05,118.230003,118.709999,116.790001,117.339996,103.944229,51141900,213
2015-01-06,117.620003,117.769997,114.360001,115.309998,102.145973,67446000,214
2015-01-07,116.059998,116.760002,115.480003,116.730003,103.403885,32252100,215
2015-01-08,117.660004,118.849998,117.449997,118.709999,105.157806,28361700,216
2015-01-09,118.809998,118.839996,117.309998,117.57,104.147949,26975200,217
2015-01-12,117.699997,118.010002,116.230003,117.18,103.802498,27316800,218
2015-01-13,118.089996,119.389999,115.82,117.269997,103.882217,49991400,219
2015-01-14,115.980003,117.099998,115.550003,116.800003,103.465866,34224200,220
2015-01-15,117.230003,117.379997,114.480003,114.830002,101.720764,46199400,221
2015-01-16,114.410004,116.940002,114.199997,116.699997,103.377274,41895700,222
2015-01-20,116.849998,117.080002,115.160004,116.209999,102.943237,36444400,223
2015-01-21,115.800003,116.82,115.290001,115.839996,102.615463,27333500,224
2015-01-22,116.559998,118.239998,115.099998,118.199997,104.706039,37877000,225
2015-01-23,118.239998,118.769997,117.550003,118.120003,104.63517,28173400,226
2015-01-26,117.879997,119.269997,117.07,119.260002,105.645042,23006800,227
2015-01-27,117.860001,119.25,117.620003,118.690002,105.140114,26919100,228
2015-01-28,119.18,119.449997,116.32,116.690002,103.368439,38086100,229
2015-01-29,117.019997,118.32,116.089996,118.300003,104.794632,39299900,230
2015-01-30,117.480003,117.959999,115.599998,115.699997,102.491447,49739800,231
2015-02-02,116.120003,116.839996,114.379997,116.760002,103.43045,44819100,232
2015-02-03,117.330002,119,117.269997,118.849998,105.281822,43920000,233
2015-02-04,118.419998,119.239998,118.099998,118.410004,104.892052,28597100,234
2015-02-05,118.769997,120.25,118.599998,119.940002,106.247406,32337100,235
2015-02-06,120.099998,120.82,119.349998,119.809998,106.13224,31694900,236
2015-02-09,119.400002,120.220001,118.720001,118.860001,105.29071,32367900,237
2015-02-10,119.529999,119.839996,118.099998,119.620003,105.963928,28960800,238
2015-02-11,119.370003,119.82,118.620003,119.449997,105.813332,23794200,239
2015-02-12,120.160004,120.919998,119.839996,120.809998,107.018074,27854600,240
2015-02-13,120.910004,121.690002,120.650002,121.529999,107.655869,20446900,241
2015-02-17,121.660004,122.059998,121.260002,121.910004,107.992516,16868500,242
2015-02-18,121.559998,122.050003,121.129997,122.040001,108.107658,20450200,243
2015-02-19,121.760002,122.379997,121.540001,122.050003,108.116501,16620500,244
2015-02-20,121.849998,122.540001,120.900002,122.379997,108.408836,30331600,245
2015-02-23,122.099998,122.529999,121.269997,122.5,108.515137,25778200,246
2015-02-24,122.470001,123.050003,122.190002,122.660004,108.656876,20023600,247
2015-02-25,122.57,123.040001,122.230003,122.800003,108.780891,17059600,248
2015-02-26,122.690002,123.300003,122.330002,123.25,109.17952,24379000,249
2015-02-27,123.029999,123.360001,122.550003,122.580002,108.586014,23821700,250
2015-03-02,122.550003,123.779999,122.529999,123.470001,109.374428,29683500,251
2015-03-03,123.190002,123.190002,122.260002,122.739998,108.727737,23068400,252
2015-03-04,122.209999,122.610001,121.610001,122.360001,108.391121,22822500,253
2015-03-05,122.529999,122.919998,121.910004,122.720001,108.710045,19725600,254
2015-03-06,121.980003,122.690002,120.879997,121.169998,107.336967,37319900,255
2015-03-09,121.370003,121.919998,121.120003,121.699997,107.806488,17556300,256
2015-03-10,120.610001,120.699997,119.830002,120.300003,106.566307,32440300,257
2015-03-11,120.470001,121.139999,119.879997,121.040001,107.221848,20914500,258
2015-03-12,121.82,123.150002,121.739998,123.050003,109.002342,41063300,259
2015-03-13,122.940002,123.190002,121.209999,122.610001,108.612579,26371000,260
2015-03-16,123.110001,123.580002,122.879997,123.330002,109.250404,19906300,261
2015-03-17,122.970001,123.779999,122.769997,123.660004,109.542732,23142600,262
2015-03-18,123.400002,125.120003,122.849998,124.650002,110.419685,40292600,263
2015-03-19,124.360001,124.959999,124.309998,124.889999,110.632301,34008200,264
2015-03-20,125.360001,126.160004,125.309998,125.989998,111.606712,34165600,265
2015-03-23,125.949997,126.32,125.790001,125.879997,111.509277,17132400,266
2015-03-24,125.769997,126.309998,125.660004,125.849998,111.482697,30115600,267
2015-03-25,125.529999,125.599998,122.379997,122.470001,108.819756,42514000,268
2015-03-26,122.089996,122.910004,121.540001,122.32,108.686462,26899200,269
2015-03-27,122.379997,123.230003,121.860001,123.099998,109.379517,23066800,270
2015-03-30,123.720001,124.989998,123.699997,124.769997,110.863373,20487000,271
2015-03-31,124.279999,124.709999,123.900002,124.370003,110.50798,24507800,272
2015-04-01,124.230003,124.419998,122.900002,124.419998,110.552406,31955200,273
2015-04-02,124.360001,125.260002,124.290001,124.650002,110.756752,23586400,274
2015-04-06,123.910004,125.480003,123.879997,125.199997,111.245468,22045600,275
2015-04-07,124.970001,125.5,124.370003,124.400002,110.53463,20214700,276
2015-04-08,124.379997,125.660004,124.379997,125.470001,111.485374,19314400,277
2015-04-09,125.360001,125.730003,123.769997,125.019997,111.085518,22325300,278
2015-04-10,125.440002,125.790001,125.220001,125.620003,111.618645,14966300,279
2015-04-13,125.690002,126.389999,125.580002,125.699997,111.689728,22819200,280
2015-04-14,125.739998,126.080002,124.779999,125.669998,111.663086,22600800,281
2015-04-15,126.160004,127.129997,125.919998,126.550003,112.445,37282300,282
2015-04-16,126.470001,126.75,126.160004,126.480003,112.38279,24439900,283
2015-04-17,125.120003,125.550003,123.82,124.43,110.56131,48283500,284
2015-04-20,125.050003,125.949997,124.830002,125.650002,111.645317,24602300,285
2015-04-21,126.050003,126.25,125.419998,125.519997,111.529793,13844600,286
2015-04-22,125.519997,125.879997,124.470001,125.709999,111.698616,21991300,287
2015-04-23,125.480003,126.540001,125.260002,126.279999,112.205078,18025800,288
2015-04-24,126.330002,126.459999,125.690002,125.860001,111.831909,14992500,289
2015-04-27,126.209999,126.910004,124.040001,124.470001,110.596809,32924600,290
2015-04-28,124.540001,125.370003,123.25,125.160004,111.209923,35654900,291
2015-04-29,124.470001,124.900002,123.629997,123.800003,110.001503,26437900,292
2015-04-30,123.059998,123.440002,120.660004,121.18,107.673515,72393800,293
2015-05-01,121.519997,122.160004,120.910004,121.970001,108.375435,47996200,294
2015-05-04,122.129997,123.349998,121.800003,122.410004,108.766441,37675100,295
2015-05-05,122.349998,122.620003,120.279999,120.849998,107.380287,56891600,296
2015-05-06,121.110001,121.489998,120.239998,121.269997,107.753471,34348300,297
2015-05-07,121.139999,122.230003,120.57,121.730003,108.162231,29826100,298
2015-05-08,122.93,123.25,122.400002,122.639999,108.970802,26357100,299
2015-05-11,122.599998,123.660004,122.440002,122.709999,109.032982,28406700,300
2015-05-12,122.349998,122.919998,120.870003,122.489998,108.837517,34961600,301
2015-05-13,122.760002,123.209999,122,122.489998,108.837517,27214700,302
2015-05-14,123.080002,123.860001,122.449997,123.790001,109.992645,23293200,303
2015-05-15,123.559998,123.720001,122.940002,123.650002,109.868233,22055600,304
2015-05-18,123.400002,125.160004,123.169998,125.050003,111.11219,30846000,305
2015-05-19,124.800003,125.050003,124.309998,124.879997,110.961128,23256800,306
2015-05-20,125.169998,125.459999,124.339996,125.110001,111.165497,20838500,307
2015-05-21,124.980003,125.470001,124.480003,124.970001,111.041092,16229300,308
2015-05-22,124.760002,125.239998,124,124.43,110.56131,22601400,309
2015-05-26,123.940002,124.040001,122.519997,123.239998,109.503899,44037800,310
2015-05-27,123.360001,124.870003,122.790001,124.75,110.845627,32086300,311
2015-05-28,124.449997,124.709999,123.769997,124.639999,110.747894,18631900,312
2015-05-29,124.610001,124.730003,123.32,123.889999,110.081459,33468900,313
2015-06-01,124.690002,124.900002,123.029999,124.279999,110.427963,35649400,314
2015-06-02,123.800003,125.309998,123.480003,124.519997,110.64122,29477600,315
2015-06-03,124.760002,125.93,124.419998,125.760002,111.743042,30774800,316
2015-06-04,125.080002,125.620003,124.080002,124.5,110.623466,25820600,317
2015-06-05,124.230003,125.519997,123.32,125.400002,111.423172,36626500,318
2015-06-08,125.279999,125.620003,124.57,124.82,110.907822,18798700,319
2015-06-09,124.709999,124.860001,123.5,124.440002,110.570183,23928300,320
2015-06-10,124.93,126.480003,124.849998,125.989998,111.947411,42563500,321
2015-06-11,126.169998,126.540001,125.910004,126.309998,112.231728,17489400,322
2015-06-12,125.919998,126.150002,125.43,125.93,111.894089,23578600,323
2015-06-15,125.110001,125.800003,123.940002,125.529999,111.538689,30618300,324
2015-06-16,125.379997,126.650002,125.32,126.419998,112.329475,32800900,325
2015-06-17,126.739998,126.959999,125.970001,126.230003,112.16066,32467000,326
2015-06-18,126.82,128.240005,126.739998,127.919998,113.662277,39642100,327
2015-06-19,127.82,128.160004,127.599998,127.860001,113.608986,23310900,328
2015-06-22,128.419998,128.839996,128.149994,128.740005,114.390915,25230000,329
